quote,entry,rating
Great Indian contemporary Restaurant,The food and service in the this gorgeous restaurant is exceptional. Slightly pricy but you get what you pay forMore,4
Excellent Indian,"Ate here for the second time recently and once again the meal was excellent in every respect.
Not cheap but worth every penny. I would have no hesitation in strongly recommending as the food, service and ambience will not disappointMore",5
very nice,"a very nice experiance at the bayleaf , food and service was very nice , i will return , just found that the portion sizes was a bit small for me , but then again im a big eater !!!! but still very niceMore",4
Happy times,Found the place very clean and tidy the staff there are very friendly and happy to help you. The food was excellent very tasty indeed and good portions and all for a good price too will be going back soon I hopeMore,5
Outstanding,I had heard great things about Bay Leaf so decided to give it a try with my parents who were visiting and love Indian food. It has to be the best Indian we have ever tasted. Food was fresh and presented in an amazing way....More,5
"Better luck at my second try, but not cheap","I have previously reviewed the bayleaf about two years ago, when we had a pretty disastrous experience on new years day, mainly with the service and the hotness of food.
A friend suggested a second try, and had a discount voucher. I have to say...More",4
Superb,"Delicious, fresh and extremely tasty. Excellent meal in luxurious surroundings. Would definitely recommend as a special treatMore",5
Overpriced and unexceptional food.,"Because I have sampled 2 Bayleaf take-away meals further along the road which I was very impressed with I expected more of the same, if not better at this place. While I was very taken with the lovely interior of the restaurant I ended up...More",3
Great place,"I've been to a lot of restaurants some good and bad. The good ones never seem to tick all the boxes..... however this restaurant did. The food was exceptional, and the service was equally as great. I've heard people say the restaurant is quote pricey,...More",5
Disappointing,We booked and they told us 7.00 or 9.00 so we booked for 7 as one of our party had a really early start. What they didn't tell us was that we had to vacate the table promply at 9.00. My main course was overcooked...More,3
Nice,"Couldn't get a booking the last time I was in London but managed one this time and wasn't disappointed.Restaurant is spotless,clean and tidy.Staff are very friendly and food is exceptional.Food portions are very reasonable.Will deco drop in again when I'm in town.Very enjoyable :)More",4
Disappointing,"Unfortunately, this restaurant used to be my partner's local indian but it is no longer. With such horrendous service on our last visit - we were forced to walk out and will not be returning. Being regulars to this restaurant and a couple who eat...More",1
Very good food but far too expensive,"We last went here 2 years ago. The food was just as we remembered - delicious, but the prices had really escalated. The service was too much in your face. I was trying to talk about something important to my son and was interrupted about...More",3
Excellent,"We have eaten at Bayleaf  on several occasions. The restaurant has a very relaxed ambiance, the food is always superb along with the service and decor. 
This restaurant ticks all the boxes and is the best Indian restaurant within miles.More",5
Buisness lunch,Always a very enjoyable occasion. Very friendly staff and wonderful food. So much so we have already booked to go back in November.More,5
Up market Bangladeshi restaurant ,4 of us went last night - of which 2 of our party are vegetarians - the food was very good - I had a chilli paneer to start the sauce was a little on the sweet side for my liking but not really overwhelming....More,4
Another first class experience,"Bayleaf accommodated our large group booking with ease yesterday. We've been there before but the quality of the food, presentation and service continues to impress me and my colleagues.

And what can I say about the Momo dish... such a tasty starter and the presentation...More",5
2 visits to the Bayleaf restaurant,We visited this restaurant on a Sunday evening and found the food and service excellent. The restaurant was full and quite noisy. We returned a week later and had an equally excellent meal.More,5
Excellent curry,Our first visit will certainly go again staff friendly and attentive very comfortable restaurant. Menu was not your usual curry fare. Very tasty food.More,4
Excellent Excellent Excellent,"Fantastic food, service and atmosphere. We went for an Anniversary meal, when the staff found out they decorated a lovely cake for us. even without this lovely gesture the whole experience was excellent. Will go there again and definately recommend to all my friends.More",5
Regular customer at the bayleaf,"Absolutely amazing food, lovely atmosphere, great staff very friendly, small round great restaurant experience.More",5
The most exceptional food and service,This is a most exceptional restaurant with the yummiest food and the most incredible service. I'm not a lover of Indian food but my cousin who was visiting from San Francisco is so off we came. I have never tasted such fine Indian food. Not...More,5
Food and service was great,"Food was excellent, the service was very efficient, We are all looking forward to going again as soon as possible,The  atmosphere is very homely and decor really good, I love the bubble wall.More",5
"Nice food, not sure I'd rush back","A group of 8 of us went for dinner on a Sunday evening. The restaurant was busy, with no tables free which was a good sign.

We ordered 8 starters to share amongst us, a main each with a few sides and rice was complimentary....More",4
"Not your ""standard"" curry house..","Very ""up-market"" atmosphere and decor- Generally smaller portions and excellent quality food and service. But, be aware, our meal was nearly £80 for two people (with only one glass of wine between us) so this doesn't come cheap.  Maybe one for a special occasion rather...More",4
21st birthday meal,"Gorgeous food, presented with detail and authentic flavours! Lovely spaced restaurant with attentive staff who were very helpful when we asked for advice when ordering.
Will definitely be returning!More",5
Excellent high end Indian restaurant in Whetstone London N20,Recently visited this high end Indian restaurant in Whetstone high road and both the food and service were excellent. The king prawn and scallops starter with dry ice special effects certainly has the wow factor. The restaurant is modern with a great ambience and the...More,5
Excellent non conventional Indian restaurant,This restaurant is definitely not the standard Indian restaurant that you would expect locally. An excellent and exciting menu with a touch of pezaz with the some dry ice with the starters. Looks spectacular and tastes great. It is not cheap but worth the extra...More,5
Excellent ,Been here a few times now and always amazing food and service. Best curry in the area. Must try the amazing starters.More,5
Indian with a difference,This is not your normal Indian restaurant. It is rather a high class restaurant which serves Indian food. The ambience and decor are very appealing. The staff are very friendly and attentive. The food is excellent and beautifully presented. Highly recommendedMore,5
Food excellent but rather pricey,"The restaurant seems to specialise in grilled meat and vegetarian options, as opposed to slow-cooked options. 

 The mixed vegetables and okra were beautifully cooked and in fact I would go so far as to say that the vegetable dishes were the best I have had...More",4
Blown away,"Absolutely incredible. By far and away the best service and most delicious Indian food I have ever tasted in a restaurant, anywhere! Beautiful setting, exquisitly decorated and a 'perfect' ambience. The team made us feel special from the moment we walked in until they walked...More",5
Incredible India (n),"Where do I start? Delicious fresh food, buzzy atmosphere, excellent service and owner managed by Tof who is a perfect example of how to run a local restaurant really well. We've been to India many times and eaten in some of London's West End's best...More",5
High End Indian,"Our party of four recently visted Bayleaf. Service - excellent. Food - presentation dominates at the expense of quality; example being Tikka Nazaquat which was beautifully presented but the three meat offerings being luke warm, toughish and rather tasteless. Chicken Dabari was good. Sag Aloo...More",4
Lovely Evening with Great Food and Service,I love coming here. It is close by and perfect to pop in. They are always accommodating and make it work for regulars. The food keeps getting better and better and lovely service as always. Customers always made feel great. Though not loving the new...More,4
Great Service and Food to match,Just turned up on Saturday night the pace was pretty full but they managed to squeeze the 3 of us in without any fuss. Nice menu not overly complicated but enough choice and variety (Veg and Non-Veg). We didn't have enough time for a full...More,4
Excellent - would highly recommend,"My boyfriend and I visited this restaurant for the first time yesterday evening and it was so good that i'm already writing a review today! Having lived in the local area for almost 18 months i'm kicking myself for not visiting sooner. 

We had a...More",5
Fabulous!,"Wow, Bayleaf is an impressive Indian restaurant. Food is delicious and beautifully presented with some dishes really coming to the table with a wow factor like it says in the menu! Restaurant staff made sure we had a great evening and apologies for not getting...More",5
Final time,"We are moving out of the area; too far for a delivery from the takeaway or a visit to the restaurant. We have been customers of the takeaway since it started 21 years ago.
The restaurant was quite busy for a drizzly Tuesday evening.
We...More",5
"Golf, curry and a long train home. ","Having played a twighlight round at north middlesex golf club the group decided to grab some food in the local area before venturing off to our various locations around north/east London.   As it was already quite late we wanted something quick , and we stumbled...More",3
Best restaurant in N20,Definitely worth a visit... Or six! Food so good and the staff are genuinely lovely. Can't fault it - have been over a dozen times and never had a bad mealMore,5
"Amazing food, great service","Beautiful setting, spotlessly clean, wonderful decor, but they save the best for last when they deliver the food. After my starter, I told my waiter that this is my new favourite restaurant.More",5
Friday Night Visit,"Amazing restaurant with very well presented dishes and fantastic service. Since opening, this restaurant has brought a touch of fine dining to North London. We love it and it always feels like a treat when visiting.  Great cocktails too. Highly recommend.More",5
Excellence at it's finest!,"The food and service is spectacular, the food presentation is superb and delicious. The prices are not expensive considering the food and the service you get, All is very professional and shows the talent and experience of the owner and his staff. The decor of...More",5
Outstanding Indian restaurant,"This restaurant may be a bit more expensive than the ordinary Indian restaurant but it is worth every penny. This is really top class Indian cuisine, up with the top West End Indian restaurants but far more more reasonably priced compared to them. The service...More",5
"A very different Indian, not what we were expecting","The food here is excellent quality but the starters were small.  We shared the ""special"" chicken dumplings which came served on a plate with a pool of liquid nitrogen (?).  

Generally the presentation of the food was impressive with a lot of care clearly taken...More",5
A different take on the normal Bangladeshi/Sylheti  restaurant,When some friends suggested a curry outing this place beckoned.This is a cut above the normal Bangladeshi food and at first glance the prices seem a little high but then you notice that the majority of the dishes include a portion of rice.My starter of...More,4
The fine dining end of Indian food but I shall stick to their takeaway shop in future.,"Quite different from their excellent takeaway menu but equally as tasty, some dishes are served with a bit of theatre. One of our party was celebrating a birthday and when they found out they did something a bit special for this. The staff were attentive...More",4
Apres Golf Indian Meal...,After playing golf at North Middlesex looked on TripAdvisor for a quality Indian Restaurant in neighbourhood. Delighted to find the excellent Bayleaf. Food was superb and explained in detail. Staff were most helpful and obliging. Price including quite a few beers was very good. Surprise...More,5
Dad was not disappointed,"Took my Dad here for Father's Day. He loves a good curry and he certainly wasn't disappointed. The food here really is very good indeed. Not your usual tikka massala and korma dishes - much better!

The quality of the food and the manner in...More",5
Excellent food & service,"Best curry in London :D. All the food was fresh, tasty and obviously cooked with a passion. These guys really take care to lay on excellent grub. Would eat here again at every available opportunity.More",5
"delicious, from someone who normally would avoid eating Indian","As someone who would avoid going for a curry at all cost this was a pleasant surprise. The restaurant was well decorated, spotlessly clean and the service was second to none. Without a doubt, this has got to be the best Indian food I have...More",5
Exceptionally good Indian restaurant.,I have tried most of the Indian restaurants round here and this is  the best. It is also the most expensive - but worth it.More,5
Friday night visit,"Came here for dinner with some friends after a long day of fasting, and the food and atmosphere was fantastic ! For mains we had the Lamb shank (which was my personal favourite) as well as the Aloo Gobi, Achar Gosht, Dhaal Makhni and Darbaari...More",5
First visit but definately not the last .,"Premises were spotless and beautifully presented, with a fine ambience.
All staff were friendly and welcoming, knowledgeable and eloquent, with nothing  being too much trouble.
All dishes were presented beautifully, and very well received by our party.
Compliments to the owners and staff, and thanks...More",5
Indian Recipes with a modern difference.,"Pleasantly surprised that the food was brought up to date from the traditional food you get in an average Indian Restaurant. The spices used were excellent, along with the presentation.
This is good place to take someone who is fussy about Indian food.
The staff...More",4
Not your average Indian!,"Recently revisited this Indian restaurant, this time as a couple, unusually for a Friday evening when they have two sittings it was quite quiet and we sat down at 8 pm. The decor is modern in a glitzy way, chrome and glass, not to everyone's...More",4
Excellent,"Excellent can highly recommend to everyone ,lovely food and nothing is to much trouble. The staff were greatMore",5
Modern decor tasty food to suit all palates,This modern High Street Indian restaurant is great. We were a group of four liking very spicy to not spicy at all. We started with popadoms. The plain were very good but the spicy were ordinary. The selection of 8 chutneys etc was good. We...More,4
Step up from the normal Indian experience,"lovely well decorated and welcoming restaurant , great food selection with some great tastes. the papudams and condiments are great for a starter, try a cocktail too they are very well done. Overall its a busy place and the service is great so recommend trying...More",4
Best Indian food,We had a family celebration meal. The food and services were great and it was not too expensive either. Manager was very attentive to our needs.More,5
A delicious Indian food experience,"We went early evening to this restaurant with our family including two grandsons.
The restaurant was well decorated, spotlessly clean and the service was second to none.
The staff were polite, helpful and accommodating. They met the needs of the family with dairy and wheat...More",5
Amazing local place ,If you want central London service locally this is the place to go. The service was impeccable I was so impressed! Food was good too. It was quiet for a Friday night but would definitely recommend for a great local place to eat!More,5
Saturday night dinner with friends.,"Without a doubt, this has got to be the best Indian food I've eaten outside of India.
Absolutely superb, outstanding I can't praise it highly enough. The service was also absolutely first class down to the fact that one of our party has several food...More",5
Excellent food and service ,"A really delicious meal and great service, very attentive waiter and the decor/setting of the restaurant is lovely too.

The food is presented beautifully and full of flavour, I really can't fault this place. 

It's worth paying the extra for the exceptional quality and service.More",5
Consistently outstanding,"How lucky are we to have the best Indian restaurant on our door step, the Bayleaf is consistently outstanding. What's more the presentation and service is excellent. The servings are large so you'll never go hungry.  We have travelled extensively around India but still love...More",5
Excellent food and staff.,"I've been here more than a few times and it's excellent. The manager and staff are very attentive, the service they provide is always excellent. 

The food is lovely and always comes out very well presented. It isn't particularly cheap but it's well priced for...More",5
5 star service and tasty food,"All staff were very attentive and friendly but not in an overpowering way. Lots of nice caring touches to the service too and cleanliness was faultless.
The food we chose, all vegetarian, was served beautifully and looked fantastic. Portions didn't look overly generous, as in...More",4
Mother's Day lunch ,"Just to say had a wonderful lunch at bayleaf for mothers day. The service was excellent and the food delicious. The presentation and crockery are beautiful making the experience even. Would definitely go back, we took young kids and they were accommodated and made to...More",5
Thoroughly excellent,"Cannot speak highly enough about the ambience, food, staff and service in this great restaurant.  It was my first visit, and I know I will be going back again and again.
They could not do enough for us. All of the food was superb, and...More",5
Great Evening Out,"Lovely food in a modern setting. Excellent service, very attentive but not overbearing.
More expensive than your average Indian, but it deserves to be as it's much better than your average. Good value for money, but if your appetite is more on the larger side,...More",5
Good experience,"Well laid out, tidy restaurant  - excellent staff. Food is very presented and subtle taste, nothing too overpowering. Will visit again.More",4
Pricey Spicey but great,Good to have a high quality indian so close to home. Deft touches from starter through to main and on to afters make it a special night outMore,4
Wonderful evening out with the most amazing food and service.,"We went there as a party of five to celebrate a reunion.Absolutely the best Indian restaurant I've ever been to. Charming and smart.
The service was exquisite and the management knows how to deliver a client delight.
A couple of friends new to Indian food,...More",5
Amazing food!,I work right next door to Bayleaf. It's great food with great friendly service. I go here at least once a week for some lunch.. It's so good. Highly recommended.More,5
Very good,First time I had visited Bayleaf. Very impressed. The service was great and food tasty. Restaurant clean and seats comfy! I'd def go again!More,4
excellent meal,"having read reviews we decided to try this amazing restaurant.  Food was superb, excellent service, attentive , not over the top.  would 100% returnMore",5
Excellent Indian quisine with suburb service,"We visited this restaurant for a birthday celebration and had a wonderful experience 
The food was so tasty and presented beautifully , the manager who served us , took his time with us and dealt with concerns we had over a specific allergy that one...More",4
Wonderful,"We have been ordering take away meals from them for over 20 years which never failed to please and impress. We decided recently to visit the reaturant itself and were very pleased we did.

The owner and staff were exceptionall friendly and welcoming and the...More",5
Best Indian food I have eaten,If you like Indian food and don't mind paying mid-range prices then this restaurant is thoroughly recommended. I was in a group of eight for a reunion and we were all very impressed with our dishes. I can't tell you if it is authentic or...More,5
Great Restaurant ,Lovely restaurant with a very special feel to it. We had a lovely meal. My husband said it was the best curry he had ever had. Everything was cooked to perfection and service was attentive although not intrusive.  Would highly recommend.More,5
Deserves the accolades!,"Having driven past this place a million times (slight exaggeration) and said 'that looks great' we finally made it here last weekend - and how pleased we were to have done so.

It's refined Indian food - fine dining if you will, served by friendly...More",5
awesome service,"I had gone to this restaurant recently.
the stewards served us very well.
i just loved the clear soup and non veg starters.
the veg biryani in the main course was prepared in a traditional way in a matka as it was a dum biryani...More",5
Disappointing,"I had been looking forward to visiting the Bayleaf Restaurant having already enjoyed on  many occasions their takeaway service.

i was immediately unsure as the we were told the table had to be vacated by 8-45, we had just a two hour slot and we...More",3
We should have had a doggy bag but ate the food instead,"A busy and lively restaurant serving great Indian food. Portions sizes are just right. It is more expensive than the average Indian, but this is not your average Indian. Exceptionally tasty food with plenty of choice for everybody who likes a good curry. And the...More",4
A Taste of Excellence,"It is so refreshing to be able to write such a positive review!

My family chose this restaurant to celebrate my parents' 30 year anniversary after they visited this restaurant last month and were so impressed at the excellent service and food. They really didn't...More",5
expensive and over-rated,We were in the restaurant for 40 minutes before the food was ordered. Poppadoms and drinks had already been served. Our party of 6 decided not to order starters due to the delay and need to get home for babysitters etc. The manager took exception...More,3
Impressive ,I've been there with my family. Service and food quality the best. Very clean and nice smell inside. My wife was impressed.More,5
Seriously Tasty!,"As an art director working with large chains in hospitality, my expectations are high.

We went here today for lunch. OMG. seriously tasty food, beautifully presented, attentive staff. Being from Barnet, it was worth the short travel to experience some great fayre. Being used to...More",5
Really great food at a price that matches the experience,We really love our curry and have been steadily trying restaurants in the top 40 on TripAdvisor within not too distant reach of our home in north London. Bayleaf was this Friday's selection and we were definitely not disappointed. This restaurant is definitely pitching itself...More,4
"My visit to Bayleaf Indian Restaurant on High Rd Whetstone, London",I recently dined at Bayleaf Indian restaurant in Whetstone and it's the first time in a long time that I have given a restaurant 10/10 but it literally was a great experience. The food hardly had any colourings and preservatives like you tend to find...More,5
Visit with the family ,"We feel really lucky to have this restaurant on our doorstep. Always delivers good service and great tasting food. We always share several dishes and believe this is the way to enjoy the wonderful tasting food. 
Every time we have recommended friends they have all...More",5
"Best Indian food found in North London, so far!","Have now eaten twice here, with family and just as a couple. Definitely need to book! News of food this good travels fast round here and we saw people being turned away mid-week. Not a huge menu but everything we've tried so far has been...More",5
Fantastic meal,We went here a while back and oh my gosh the food is amazing. Think poshed up indian grub. The staff are very attentive and the food is truly worth the money.More,5
Very very very good,"I simply loved it, one if the best Indian place i've been to!!!! Tasteful, good cost/benefit, service very strong, come and check!!More",5
Best Indian Food in Years,Really good food and not the usual Indian food one expects. A good variety of dishes put together with imagination and flair and well recommended. Plates were so hot the waiter needed to wear gloves. Downside - The portion sizes are just a little bit...More,4
Worst con restaurant ever,"The owner of the restaurant is a con man.

They told us they accept tastecard and then when the bill came they charged us for the full price without deducting the taste card discount.

WE paid £150 between 4 people.

Never go there unless you...More",1
BEST Indian ever,"I am a foodie and I like my food to look and taste like food. 

This place serves the best Indian food I've had. It is beautifully presented, the plates are turned to a specific direction when placed in front of you. The colours of...More",5
Good until asked for wine,"Can not fault it for food! Absolutely beautiful and filling. HOWEVER we was asked what wine we would like, we only fancied a glass so when asked-that's what we ordered-a glass. However a very rude member of staff made the comment of 'oh is the...More",3
Just great service,"Great food, polite and efficient  service. 
Definitely an indian to go back to.  
I've ordered a takeaway and asked them to deliver quickly, they said 30 minutes but arrived in 15. Food tastes really nice. I'm loving it. 
Strongly suggest to try it.More",5
Brilliant,This is simply the best Indian I have ever tasted. Is totally authentic and the service is brilliant. We go regularly and if you gave not tried you are missing a trick.More,5
Amazing food & great service,Absolutely loved this restaurant - wonderful staff & delicious food. Would highly recommend it for any occasion.More,5
Super restaurant ,Went here a few weeks ago with family and it's really really good food. Kids loved it too so that's a great endorsement. Will go back when in London again.More,5
Very Tasty Dishes,"This isn't the run of the meal Indian. It has numerous creative and different types of dishes. We had 6 or 7 different dishes, all of which were very fresh and well prepared. The staff were very attentive and there was a very nice atmosphere...More",5
First visit,"Tried this restaurant after hearing good reviews about it.  It is a different ""Indian"" experience to one I am used to. I found the dishes ( I prefer mild ) lacking in flavour. Service was very good although the waiter really didn't have inspired recommendations....More",3
A really different curry experience ,"I have to admit that I'm not a huge fan of curry restaurants. In some, everything you order is so hot that before long, you cannot taste anything. However, when some friends suggested meeting here, I said yes. It is an extensive menu without a...More",5
better than your average curry!,Visited with a group of male friends who regularly meet for a good curry. Bayleaf did not disappoint.  We arrived 10 minutes late but was not an issue and were seated quickly in the busy restaurant. The waiter and manager were both very attentitive as...More,4
Great quality. Nice atmosphere.,"Visited for the first time yesterday evening and was very impressed. The food and service were very good and the place had a nice atmosphere. Restaurant was over half full - good for a Monday evening when many are short on customers.

Nice light and...More",5
Quality ,Took my partner here for her birthday and she stated that the food was to bland . From my point of view i thought the food was cooked to perfection . I guess I'm use to use to having my food with a bit of...More,4
new style cuisine,The Bayleaf has a great track record for Indian food with their takeaway/delivery service.  Their new sit down restaurant also in Whetstone is also very good but with  different style dishes on the menu. Great decor and service. Food very good.,4
Exceptional!,"For consistency of food and service, this is one of the best Indian restaurants I've been to.  Had a tastecard as, to be honest, was a bit pricier than the usual restaurant we would go to on a 'normal' night out.  From the previous reviews,...More",5
Perfect,"This is my second visit and my husband first, he has never eaten indian food before.....but absolutely loved it as did I
Staff are very friendly and attentive.....Food was fantastic worth every penny! and the little surprise desert plate with happy anniversary was such a...More",5
Good vegetarian options,The food quality/taste/presentation was very good.  Nice surroundings- decor is above average for an Indian restaurant.  Service is slightly 'intense' and it would be better if the restaurant allowed diners just to choose dishes from the menu rather than 'pushing' a main course on people-...More,4
TURNED IT AROUND,"Saturday evening was the first time I had eaten at this restaurant, we were a party of 6. 

Whilst I don't usually eat Indian cuisine, as I don't like spicy food, I have to say that I was impressed by the end of my experience....More",4
Gourmet food,"This food was superb. Very nice resturant, nicely designed.Very attentive and helpful service. My slight gripe was that staff worked quite hard at getting us to order more food then we intended. The food was wonderful, so we all enjoyed it.More",5
"Fantastic food, outstanding service","This is my second time at bayleaf, and they have somehow got even classier than last time. 

Food: 
We started with popadoms and chutneys, then had three starters to share - chilli paneer, bhajis and the tikka chicken cooked three ways. The portion sizes were...More",5
Very expensive for ordinary Indian,"Our food was nice, but nothing special. It cost about double the other local Indian restaurants and is not worth the extra. We have since received discount vouchers, but even with these it is still expensive for what you get.",3
A very good find and excellent recommendation,"We came here to pre celebrate my younger son's 30th on Friday 6 Feb, which was also my husband's actual birthday. There were six of us. We had been recommended and my son had
been  wanting to try it. The staff and food were excellent....More",5
A touch of class,"Just returned home after eating at the Bayleaf and had to share our experience with everybody.
Not since eating in the Tiffin Room in Raffles have we enjoyed an Indian meal so much.It was our first time there and definately everything served, was with a...More",5
Indian food experience,"I last week with four friends, one who is gluten intolerant and has a nut allergy. No problems everything on the menu was clearly marked and our waiter and maitre de also checked.
Delicious food, great service and sophisticated decor and atmosphere. We all over...More",5
Style over substance,"Despite the excesses of the seasonal eatfest and the fact that we had been out for curry the night before, a friends eating group went to the Bayleaf, which is newest Indian Restaurant on the high road, and occupies the site where the Lantern (passing...More",3
Perfect modern Indian cooking.,"This is a superb Restaurant, great food, very attentive service. Beautifully designed and furnished. Excellent choice of dishes, beautiful served.More",5
This is not indian food...,"We went to this restaurant a few months ago having read great reviews on trip advisor. I really do not understand where all these good reviews are coming from. To start with, the food is expensive for its location, the portion sizes are measly, there...More",1
À la cart with a twist,"An amazing meal out with the family. Beautiful Indian cuisine with an á la cart twist. The after dinner drinks were fascinating! You have to go there to find out more about that though...
Highly recommended and loved by all from ages 12 - 48.More",5
"lovely food, lovely presentation",My family and I have just eaten at this restaurant. The decor is very modern and the restaurant spacious. The menu was varied and the food very well cooked and there is an attention to detail in the presentation that you would find in other...More,4
Seriously good food,"We have been using the Bayleaf sister takeaway for a couple of years now and have had some excellent meals from them.

With our two young sons in tow - three and one - we set off on a Saturday evening to see whether the...More",5
AN EXCELLENT MEAL,"My wife and I visited early evening Fri 3 October 2014 - we had to catch a train back to Leicester.  I had found the restaurant on trip advisor and decided to try it as it had very good ratings.  We were not disappointed, and...More",5
Second visit,"Thought it was great first time so decided to try something different from our usual choices on the second visit.
The staff were knowledgeable and extremely helpful resulting in a wonderful new experience for us.
Again for cleanliness, service and quality this restaurant takes some...More",5
Had to try,"Was invited along to the Bayleaf, friends have been before, my first visit, does not look like a Indian restaurant, very impressed with the decor, having a good look at the menu, I noticed the prices and was surprised they were not too expensive (as...More",4
A Very Pleasant Surprise,"Our first visit to this establishment and the whole experience came as a very pleasant surprise. Not what you would call a 'traditional' Indian restaurant - it's a 'cut-above'! We had booked an early evening slot and the greeting on arrival was personal, with names....More",5
Great food,"We were visiting family for the weekend and decided we would like to go out for a meal, one of our family had been before and said it was very good, It was close to our hotel, so we decided to give them a try,...More",5
Great food and service - went out of their way to help!,"My fathers 86th birthday. He was too unwell to visit the restaurant.... So the team prepared the best takeaway ever!

Couldn't fault it, enjoyed every last bite!

Thanks allMore",5
Arguably best Indian meal I've ever had.,"Living in Whetstone, this is one of my locals. Every time I go here, the food is absolutely amazing, the service is good, and the restaurant rarely has a spare table (book in advance). Menu has all your Indian restaurant classics plus a few great...More",5
Very Good Night,"My fiancé and I visited Bayleaf to celebrate our anniversary.  Quite a small intimate restaurant, which was nicely decorated with a very relaxed atmosphere. The staff were quite welcoming and very friendly. The food was really nice and flavoursome, Seasoned very well and each plate...More",4
Food and setting slightly let down by service...,"Visited for an evening meal with friends. Between us we had a large selection of the dishes available and all were very good. Portion size was just right, the food itself we well prepared and presented, with some excellent flavours, and the menu itself had...More",3
You won't 'Bayleaf' it .....,"Wet Sunday  evening in dreary Whetstone I fancied a nice curry to warm my soul. Wandered into the Bayleaf impressed by the bright open layout & bubble water feature. Did I have a booking - no ? No problem sir, table for one just here...More",5
Pricey but good,"We've eaten from the takeaway many times, but this was the first time in the restaurant. The friends we were with had recommended it, having been there several times before. 

The food and service were both of a high standard, the service being especially good....More",4
Fun evebing,Went last night with my parents and was really impressed. Good service great food..can get noise and a little hot but atmosphere chilled.More,5
Fabulous food - incredible service,First time at the bay leaf and very impressed! The staff were fantastic. The food was delicious and well recommended dishes by the staff. I have a severe citrus allergy and the staff were extremely good about telling me what I could and couldn't eat!...More,5
One of the few best Indian restaurants in North London,"Relaxing ambience, friendly and yet unobtrusive service, wide enough choice of alchoholic and non alchoholic drinks and very high standard of cleanliness. One of the very few best Indian restaurants in north London. My partner and I visited this place twice in two weeks and...More",4
Excellent,"Took the family here for the wife's birthday. She loved it and brought her a nice cake at the end. Which she loved.

Food was lightly spiced and cook perfectly. Maybe a little in the small side and expensive if I was being picky. But...More",5
Excellent service,Service is great. Attention to detail is great. Pricey but fair enough the service is 5*. Starters let it down a little..and although we asked for something to be spicy it didn't quite hit the spot.More,4
Always a winner,"In my opinion this is definitely the best Indian Restaurant I have eaten in EVER!
Having been with girlfriends in the past and singing the praises to all my friends, when I arranged to spend a Saturday night with two other couples they booked the...More",5
First class,"Reserved half the restaurant for my son's 21st birthday celebrations!  Everything and everyone was top notch!!! Everybody enjoyed their food service hospitality and surroundings......would definitely recommend and look forward to going again soon :)
Thank you to all the staff that helped make this a...More",5
Superb!,My husnband always ordered the takeaway when I was out for the evening as supposedly I didn't like Indian food! Then this place opened just a bit further along the road and I was persuaded to go after a wonderful trip to India. We've since...More,5
Disappointing trends,"We go to this restaurant quite often and have been disappointed to see that the standards of their food are slipping badly. 

The prices are the same BUT...portions are smaller, the options narrower, and the food is becoming 'anglicized'. The last is the most alarming,...More",3
Can't wait to go back,This was our first visit to Bayleaf and we were not disappointed. Delicious indian food in style. The service was refreshingly brilliant. It was a perfect romantic evening...More,5
Express Lunch,I have visited the restaurant three times - once in the evening and twice for lunch. On each occasion the food was some of the best I have eaten.  The service is attentive and polite. For those who cannot afford an evening meal I can...More,5
Exquisite Indian dining,"The maitre d kindly offered me two choices of time for a last minute decision to celebrate my sons birthday at the restaurant.
The decor of the the restaurant is absolutely beautiful and the staff are welcoming, attentive, and make it quite clear that any...More",5
Birthday night out,We arrived at the restaurant and had a great welcome by the great staff. We had the most amazing starters followed by the best Indian food i have ever had. The quality of the food Is 10 out of 10. This is a world class...More,5
The Best Indian Restaurant in London,"Excellent food - amazing presentation and taste! 
Excellent Customer service - Very friendly staff, always happy to help and look after you. 
Excellent ambiance - Modern and spacious.More",5
Lovely and a bit different,"We tried bayleaf on Monday night. The food was delicious, also a few dishes we haven't seen before, it's got a modern twist but it all worked really well. I can't remember the names of the dishes we had but basically a lamb in almond...More",5
WARNING! This is no average curry restaurant.,"We had high expectations of Bayleaf's menu owing to our regular Friday night take away. . . and we were not disappointed.

The decor: chic without being ostentatious
The dishes: artistically presented
The service: attentive and friendly
The food: a select menu that offers depth...More",5
This is one of the best,"I have eaten in this restaurant three times, i have recommended it to a number of friends.
This is one of the best Indian Restaurants in NW London.
It might be quite new but the look, feel and food are stunning. Service is very good....More",5
Memorable,"A wonderfully enjoyable evening - we were made to feel so welcome and important! Thanks for giving us such a private table to celebrate our anniversary. It was the restaurant of choice for all the family, and we weren't disappointed!More",5
Superb service superb food,If you love Indian food and even if you don't you must try this fabulous restaurant. The choice is amazing and every dish has its own flavour and character. The choice is almost unbeatable with the quality of the fish dishes being the best I...More,5
Sophisticated 2 (my second review),"Having thoroughly enjoyed our set lunch last month we returned for a visit with friends on Saturday evening.  It was, again, excellent. The dishes were very artistically presented and tasted every bit as good as they looked.  The service was friendly and efficient.

It’s not...More",5
Stylish Indian restaurant in Whetstone with very good food.,"We went on a Saturday for lunch and were very impressed with this restaurant.   It's stylish and comfortable to sit in and the service was really friendly and helpful.   
Since our favourite Indian restaurant closed we haven't found a replacement locally and now we think...More",5
Manish,"Great food, great service and perfect attention to detail from the knowledgeable staff. I would definitely return and recommend!More",5
